Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.000965351576365125,0.00188350285132327,0.0592475503813128,0,0,0,0.3661552578116,0.000260139647086525,-2.84451028459699E-06,-3.95149321502307E-05,0.000497625273932272,-1.38778973935459E-06,0.000339281330458025,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/BASE.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/BASE.STL,,BASE-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
TMCPF,-8.94485140175844E-08,-0.00651772632754088,0.00979641891039251,0,0,0,0.00403111186793774,3.51226821493148E-07,5.13601613295309E-13,-3.55839429695113E-12,5.76592866072564E-07,-3.46269775245642E-08,3.57954487924098E-07,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TMCPF.STL,,TMCPF-1,TMCPF,TF,TF,revolute,0.0440000057220452,-0.00750000143051144,0.0429999918937673,0,1.5707963267949,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
TMCPS,0.00101602033104417,-1.64329848839628E-07,-0.0033155185545628,0,0,0,0.0106268686560954,7.55169051256462E-07,6.05083284640977E-13,-2.40107133878515E-08,5.98746618834923E-07,6.62863403898144E-12,6.08350308334837E-07,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TMCPS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TMCPS.STL,,TMCPS-1,TMCPS,TS,TS,revolute,0,0,0.0308500019449836,0,0,0,TMCPF,0,0,-1,0,0,0,0,,,,,,,,
TPIP,0.00057466389264031,0.000352188996532998,0.0144655843876951,0,0,0,0.0267535557871533,5.49903154572737E-06,6.92817322087774E-09,-1.54060831716358E-07,4.41518585987933E-06,1.25541644475431E-07,1.95468618389489E-06,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TPIP.STL,,"TPIP-1/t3_tactile-镜像-1;TPIP-1/t4_tactile_mirrored-1;TPIP-1/P1-从动销-1;TPIP-1/XL,XC-330-2",TPIP,TP,TP,revolute,0,0,0.0185000007491474,0,0,0,TMCPS,-1,0,0,0,0,0,0,,,,,,,,
TDIP,0.000220756270079978,-0.00143478237360595,0.0234418061755712,0,0,0,0.0319181921591647,5.19086296864556E-06,3.05404709037379E-09,3.67633554423348E-09,4.60492438514799E-06,-2.33636710533875E-07,1.5289886973583E-06,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TDIP.STL,,"TDIP-1/拇指带摄像头右-倾斜扩大改-1;TDIP-1/拇指带摄像头左-1;TDIP-1/XL,XC-330-2",TDIP,TD,TD,revolute,0,-0.000542723516867349,0.0464071733756126,0,0,0,TPIP,-1,0,0,0,0,0,0,,,,,,,,
TDIP_TACTILE_DOWN,-1.26634813746307E-16,0,-0.0025,0,0,0,0.00142750883117546,4.76072235096436E-08,3.31180101899346E-23,-7.39001807213008E-24,2.7992109161142E-08,1.18994396256337E-23,6.96513792075545E-08,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TDIP_TACTILE_DOWN.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TDIP_TACTILE_DOWN.STL,,TDIP-1/tactile-2,TDIP_TACTILE_DOWN,Axis_TD_TD,TD_TD,fixed,9.99999999999907E-05,-0.0147141509203581,0.00760860857636225,-1.5707963267949,0,-3.14159265358979,TDIP,0,0,0,,,,,,,,,,,,
TDIP_TACTILE_UP,0,-1.47451495458029E-16,0.00249999999999999,0,0,0,0.00142750883117546,2.7992109161142E-08,3.55320506829636E-23,-4.57258709553943E-24,4.76072235096436E-08,2.63773743393417E-24,6.96513792075545E-08,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TDIP_TACTILE_UP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TDIP_TACTILE_UP.STL,,TDIP-1/tactile-1,TDIP_TACTILE_UP,Axis_TD_UP,TD_UP,fixed,9.99999999997652E-05,-0.0146641509203581,0.0309523058631247,1.5707963267949,1.5707963267949,0,TDIP,0,0,0,,,,,,,,,,,,
TDIP_CAMERA,2.62682147357772E-05,0.00301973681891232,-0.0149362669168037,0,0,0,0.000838295454084939,1.18901412908026E-08,3.88948851883597E-23,-4.98406618594716E-24,4.03016166728707E-08,4.110180030754E-09,4.40328269236137E-08,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TDIP_CAMERA.STL,,TDIP-1/拇指摄像头-改走线-1,TDIP_CAMERA,Axis_TD_C,TD_C,fixed,0.000124999999999924,-0.00919680969401118,0.0536874284862765,-1.0471975511966,0,-3.14159265358979,TDIP,0,0,0,,,,,,,,,,,,
TPIP_TACTILE,-4.16333634234434E-17,0,-0.00249999999999999,0,0,0,0.00142750883117546,4.76072235096434E-08,-1.99619474610165E-23,2.78923906796758E-24,2.79921091611421E-08,-1.73816489671496E-24,6.96513792075544E-08,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/TPIP_TACTILE.STL,,TPIP-1/tactile-1,TPIP_TACTILE,Axis_TP_T,TP_T,fixed,0,-0.0150500000000001,0.00744999999999996,-1.5707963267949,0,3.14159265358979,TPIP,0,0,0,,,,,,,,,,,,
IMCPF,-0.0470930084324135,0.00451949743902065,-0.0292785497319569,0,0,0,0.834047288719578,0.00624384798787219,7.24696842476202E-05,0.000181544634561212,0.00835746020580205,0.000226207920390976,0.00244382830763096,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/IMCPF.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://PALM_URDF_0724_collision_featured_4.SLDASM/meshes/IMCPF.STL,,IMCPF-4,IMCPF,IF,IF,revolute,0.0620000004768365,-0.00750000143051144,0.129999986648559,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
