Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.000965351576365014,0.00188350285132323,0.0592475503813128,0,0,0,0.3661552578116,0.000260139647086525,-2.84451028459697E-06,-3.95149321502308E-05,0.000497625273932272,-1.38778973935456E-06,0.000339281330458025,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/BASE.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/BASE.STL,,BASE-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
TMCPF,-8.94485140210538E-08,-0.00651772632754087,0.00979641891039229,0,0,0,0.00403111186793774,3.51226821493148E-07,5.13601613297196E-13,-3.55839429697628E-12,5.76592866072564E-07,-3.46269775245642E-08,3.57954487924098E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TMCPF.STL,,TMCPF-1,TMCPF,TF,TF,revolute,0.0440000057220452,-0.00750000143051144,0.0429999918937673,0,1.5707963267949,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
TMCPS,0.00103849116596672,-1.64329802196383E-07,-0.00331551855469359,0,0,0,0.0106268686560954,7.55169051256462E-07,6.05082919322985E-13,-2.40107133877211E-08,5.98746618835006E-07,6.62863494731228E-12,6.08350308334754E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TMCPS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TMCPS.STL,,TMCPS-1,TMCPS,TS,TS,revolute,0,0,0.0308500019449836,0,0,0,TMCPF,0,0,-1,0,0,0,0,,,,,,,,
TPIP,0.000864181716212912,0.000343885439703887,0.0141246010096236,0,0,0,0.0273995580848552,5.51734130747602E-06,6.92817305609026E-09,-1.54059086928056E-07,4.42571415651149E-06,1.25541649165614E-07,1.96525275887112E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TPIP.STL,,"TPIP-1/t3_tactile-镜像-1;TPIP-1/t4_tactile_mirrored-1;TPIP-1/P1-从动销-1;TPIP_XL,XC-330-1",TPIP,TP,TP,revolute,0,0,0.0185000007491474,0,0,0,TMCPS,-1,0,0,0,0,0,0,,,,,,,,
TDIP,0.000545562549314427,-0.00117805590778415,0.0178954646012124,0,0,0,0.047829964723121,7.04561753274535E-06,3.17168411405167E-09,6.3098199712245E-09,6.19332040331521E-06,-2.60452929393567E-07,2.18835005443905E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TDIP.STL,,"TDIP-1/拇指带摄像头右-倾斜扩大改-1;TDIP-1/拇指带摄像头左-1;TDIP-1/XL,XC-330-1;TDIP_XL,XC-330-2",TDIP,TD,TD,revolute,0,0,0.0464999999999998,0.00917956810513729,0,0,TPIP,-1,0,0,0,0,0,0,,,,,,,,
TDIP_TACTILE_DOWN,-1.30104260698261E-16,2.22044604925031E-15,-0.00249999999999256,0,0,0,0.00146,4.95483333333334E-08,2.90359158539598E-23,-5.55715796254778E-24,2.929E-08,3.69344866215767E-24,7.27550000000001E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TDIP_TACTILE_DOWN.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TDIP_TACTILE_DOWN.STL,,TDIP-1/tactile-2,TDIP_TACTILE_DOWN,Axis_TD_TD,TD_TD,fixed,9.99999999988753E-05,-0.015137243078741,0.00765505587662729,-1.56161675868976,0,-3.14159265358979,TDIP,0,0,0,,,,,,,,,,,,
TDIP_TACTILE_UP,-1.47451495458029E-16,2.22044604925031E-15,-0.00249999999999194,0,0,0,0.00146,4.95483333333336E-08,3.82368522715799E-23,-9.88393007284596E-25,2.92900000000001E-08,-3.69629091429138E-25,7.27550000000003E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TDIP_TACTILE_UP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TDIP_TACTILE_UP.STL,,TDIP-1/tactile-1,TDIP_TACTILE_UP,Axis_TD_UP,TD_UP,fixed,9.99999999986498E-05,-0.0149229610290949,0.0309977696481494,-1.56161675868976,0,3.14159265358979,TDIP,0,0,0,,,,,,,,,,,,
TDIP_CAMERA,2.67746700514503E-05,0.00308600031105555,-0.0151496387593786,0,0,0,0.000865724954084934,1.2382360219818E-08,-9.28595651706117E-23,6.48000646821782E-23,4.23357916729273E-08,4.32469630376937E-09,4.62079016284062E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TDIP_CAMERA.STL,,TDIP-1/拇指摄像头-改走线-1,TDIP_CAMERA,Axis_TD_C,TD_C,fixed,9.99999999999786E-05,-0.00924715447690669,0.0536817472701889,-1.03801798309146,0,3.14159265358979,TDIP,0,0,0,,,,,,,,,,,,
TPIP_TACTILE,-4.16333634234434E-17,0,-0.00249999999999996,0,0,0,0.00146,4.95483333333334E-08,-1.75495123266296E-23,-1.2376925121472E-24,2.92900000000001E-08,-1.9575347483553E-24,7.27550000000001E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/TPIP_TACTILE.STL,,TPIP-1/tactile-1,TPIP_TACTILE,Axis_TP_T,TP_T,fixed,0,-0.0150000000000002,0.00744999999999996,-1.5707963267949,0,3.14159265358979,TPIP,0,0,0,,,,,,,,,,,,
IMCPF,-0.0430843214631895,0.0043183437060114,-0.0307718182610954,0,0,0,0.871654867959218,0.00641620487977667,8.78054224341656E-05,0.000377286022634246,0.00892182190148507,0.000220747041047435,0.00283958693017269,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IMCPF.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IMCPF.STL,,IMCPF-4,IMCPF,IF,IF,revolute,0.0620000004768365,-0.00750000143051144,0.129999986648559,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
IMCPS,0.000366352894816346,0.00136079106892853,0.036307000644315,0,0,0,0.0299795617629257,4.61407270089445E-06,-8.99357979669138E-11,-2.65128538904175E-09,4.96910634776405E-06,-1.08820321097629E-08,1.68786894408092E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IMCPS.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IMCPS.STL,,"IMCPS-4/f5_tactile-1;IMCPS-4/f6_tactile-1;IMCPS-4/f7_tactile-1;IMCPS-4/tactile_板子-1;IMCPS-4/XL,XC-330-1;IMCPS-4/f5盖子-1",IMCPS,IS,IS,revolute,0,0,0,0,0,0,IMCPF,0,1,0,0,0,0,0,,,,,,,,
IPIP,0.000883607943124698,0.000518551489527411,0.0315502125402503,0,0,0,0.027206442467989,4.85051610724986E-06,1.06519728675525E-08,1.36331026032813E-07,3.78353465508138E-06,-5.4440098060443E-08,1.94188295958329E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IPIP.STL,,"IPIP-4/f3_tactile-1;IPIP-4/f4_tactile-1;IPIP-4/XL,XC-330-1;IPIP-4/P1-从动销-1",IPIP,IP,IP,revolute,0,0,0.052,0,0,0,IMCPS,-1,0,0,0,0,0,0,,,,,,,,
IDIP,0.000755618362616284,-0.0028569002986303,0.0251719278979156,0,0,0,0.0152963409977157,2.60252180819878E-06,-6.11796223608745E-09,1.3786754678515E-07,2.43805284577734E-06,1.22062110226717E-07,7.35865815495018E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IDIP.STL,,IDIP-4/手指带摄像头右_倾斜扩大改-1;IDIP-4/手指带摄像头左_倾斜扩大-1;IDIP-4/P1-从动销-1,IDIP,ID,ID,revolute,0,0,0.0465000000000003,0,0,0,IPIP,-1,0,0,0,0,0,0,,,,,,,,
IDIP_TACTILE,0,0,-0.0025,0,0,0,0.00145999999999999,4.9548333333333E-08,1.03632115079537E-23,1.3808909495774E-24,2.92899999999995E-08,-8.6757470060248E-26,7.27549999999992E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IDIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IDIP_TACTILE.STL,,IDIP-4/tactile-1,IDIP_TACTILE,Axis_ID_T,ID_T,fixed,0,-0.0149254046082226,0.0240957914612014,-1.5707963267949,0,3.14159265358979,IDIP,0,0,0,,,,,,,,,,,,
IDIP_CAMERA,2.67746700501892E-05,0.0040745019054535,-0.015109791760626,0,0,0,0.00086572495408493,1.23823602198178E-08,3.60503654350637E-24,7.07323280412295E-24,4.23218910238283E-08,4.32064612591672E-09,4.62218022775047E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IDIP_CAMERA.STL,,IDIP-4/摄像头-改走线^IDIP-1,IDIP_CAMERA,Axis_ID_C,ID_C,fixed,0,-0.00945806338187481,0.0430527620973654,-1.0471975511966,0,-3.14159265358979,IDIP,0,0,0,,,,,,,,,,,,
IPIP_TACTILE,-2.22044604925031E-16,-2.77555756156289E-17,-0.00249999999999999,0,0,0,0.00145999999999999,4.9548333333333E-08,-1.96554108695695E-23,-2.72321374069744E-25,2.92899999999995E-08,4.22197064611139E-24,7.27549999999991E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IPIP_TACTILE.STL,,IPIP-4/tactile-1,IPIP_TACTILE,Axis_IP_T,IP_T,fixed,5.00000000001055E-05,-0.0149999999999999,0.0390999999999999,-1.5707963267949,0,3.14159265358979,IPIP,0,0,0,,,,,,,,,,,,
IMCPS_TACTILE,-2.22044604925031E-16,-1.38777878078145E-17,-0.00249999999999999,0,0,0,0.00145999999999999,4.95483333333333E-08,-2.59776958285355E-23,3.77338073205544E-24,2.92899999999995E-08,-1.9160813811325E-24,7.27549999999994E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IMCPS_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/IMCPS_TACTILE.STL,,IMCPS-4/tactile-1,IMCPS_TACTILE,Axis_IS_T,IS_T,fixed,0,-0.015,0.0445,-1.5707963267949,0,3.14159265358979,IMCPS,0,0,0,,,,,,,,,,,,
MMCPF,-0.00708432146318949,0.00431834370601143,-0.0307718182610954,0,0,0,0.871654867959218,0.00641620487977667,8.78054224341653E-05,0.000377286022634239,0.00892182190148507,0.000220747041047434,0.00283958693017269,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/MMCPF.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/MMCPF.STL,,MMCPF-3,MMCPF,MF,MF,revolute,0.0260000004768365,-0.00750000143051145,0.129999986648559,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
MMCPS,0.000366352894817012,0.00136079106892852,0.036307000644315,0,0,0,0.0299795617629258,4.61407270089446E-06,-8.99357979659158E-11,-2.65128538904688E-09,4.96910634776408E-06,-1.08820321097613E-08,1.68786894408093E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/MMCPS.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/MMCPS.STL,,"MMCPS_-3/f5_tactile-1;MMCPS_-3/f5盖子-1;MMCPS_-3/f6_tactile-1;MMCPS_-3/f7_tactile-1;MMCPS_-3/tactile_板子-1;MMCPS_-3/XL,XC-330-1",MMCPS,MS,MS,revolute,0,0,0,0,0,0,MMCPF,0,1,0,0,0,0,0,,,,,,,,
MPIP,0.000883607943125142,0.000518551489527383,0.0315502125402506,0,0,0,0.0272064424679892,4.85051610725001E-06,1.06519728675506E-08,1.36331026032793E-07,3.78353465508154E-06,-5.44400980604316E-08,1.94188295958329E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/MPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/MPIP.STL,,"MPIP_-3/f3_tactile-1;MPIP_-3/f4_tactile-1;MPIP_-3/XL,XC-330-1;MPIP_-3/P1-从动销-1",MPIP,MP,MP,revolute,0,0,0.0519999999999999,0,0,0,MMCPS,-1,0,0,0,0,0,0,,,,,,,,
MDIP,0.000755618362616062,-0.00285690029863034,0.0251719278979156,0,0,0,0.0152963409977157,2.6025218081988E-06,-6.11796223608872E-09,1.37867546785198E-07,2.43805284577736E-06,1.22062110226714E-07,7.35865815495016E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/MDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_4/meshes/MDIP.STL,,MDIP-3/手指带摄像头右_倾斜扩大改-1;MDIP-3/手指带摄像头左_倾斜扩大-1;MDIP-3/P1-从动销-1,MDIP,MD,MD,revolute,0,0,0.0465000000000001,0,0,0,MPIP,-1,0,0,0,0,0,0,,,,,,,,
