Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.000965351576364903,0.00188350285132324,0.0592475503813128,0,0,0,0.3661552578116,0.000260139647086525,-2.84451028459701E-06,-3.95149321502307E-05,0.000497625273932272,-1.38778973935459E-06,0.000339281330458025,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/BASE.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/BASE.STL,,BASE-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
TMCPF,-8.94485140210538E-08,-0.00651772632754086,0.00979641891039229,0,0,0,0.00403111186793774,3.51226821493148E-07,5.13601613300301E-13,-3.55839429696833E-12,5.76592866072564E-07,-3.46269775245642E-08,3.57954487924098E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TMCPF.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TMCPF.STL,,TMCPF-1,TMCPF,TF,TF,revolute,0.044,-0.0075,0.043,0,1.5708,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
TMCPS,0.00103849116596672,-1.64329802196383E-07,-0.00331551855469381,0,0,0,0.0106268686560954,7.55169051256462E-07,6.05082919322523E-13,-2.40107133877211E-08,5.98746618835006E-07,6.62863494730535E-12,6.08350308334754E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TMCPS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TMCPS.STL,,TMCPS-1,TMCPS,TS,TS,revolute,0,0,0.03085,0,0,0,TMCPF,0,0,-1,0,0,0,0,,,,,,,,
TPIP,0.000864181716212923,0.000343885439703859,0.0141246010096241,0,0,0,0.0273995580848552,5.51734130747602E-06,6.92817305609023E-09,-1.54059086928057E-07,4.42571415651149E-06,1.25541649165614E-07,1.96525275887112E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TPIP.STL,,"TPIP-1/t3_tactile-镜像-1;TPIP-1/t4_tactile_mirrored-1;TPIP-1/P1-从动销-1;TPIP_XL,XC-330-1",TPIP,TP,TP,revolute,0,0,0.0185,0,0,0,TMCPS,-1,0,0,0,0,0,0,,,,,,,,
TDIP,0.000545562549314427,-0.00117805590778414,0.0178954646012122,0,0,0,0.047829964723121,7.04561753274535E-06,3.17168411405157E-09,6.3098199712245E-09,6.19332040331521E-06,-2.60452929393568E-07,2.18835005443905E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TDIP.STL,,"TDIP-1/拇指带摄像头右-倾斜扩大改-1;TDIP-1/拇指带摄像头左-1;TDIP-1/XL,XC-330-1;TDIP_XL,XC-330-2",TDIP,TD,TD,revolute,0,0,0.0465,0.0091796,0,0,TPIP,-1,0,0,0,0,0,0,,,,,,,,
TDIP_TACTILE_DOWN,-1.30104260698261E-16,2.22044604925031E-15,-0.00249999999999256,0,0,0,0.00146,4.95483333333334E-08,2.92143394509453E-23,-5.55715796254778E-24,2.929E-08,3.69344866215766E-24,7.27550000000001E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TDIP_TACTILE_DOWN.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TDIP_TACTILE_DOWN.STL,,TDIP-1/tactile-2,TDIP_TACTILE_DOWN,,TD_TD,fixed,0.0001,-0.015137,0.0076551,-1.5616,0,-3.1416,TDIP,0,0,0,,,,,,,,,,,,
TDIP_TACTILE_UP,-1.47451495458029E-16,2.22044604925031E-15,-0.00249999999999194,0,0,0,0.00146,4.95483333333336E-08,3.83883135653823E-23,-9.88393007284593E-25,2.92900000000001E-08,-3.69629091429135E-25,7.27550000000003E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TDIP_TACTILE_UP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TDIP_TACTILE_UP.STL,,TDIP-1/tactile-1,TDIP_TACTILE_UP,,TD_UP,fixed,0.0001,-0.014923,0.030998,-1.5616,0,3.1416,TDIP,0,0,0,,,,,,,,,,,,
TDIP_CAMERA,2.67746700514503E-05,0.00308600031105555,-0.0151496387593786,0,0,0,0.000865724954084934,1.2382360219818E-08,-9.28595651706117E-23,6.47982504316448E-23,4.23357916729273E-08,4.32469630376937E-09,4.62079016284062E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TDIP_CAMERA.STL,,TDIP-1/拇指摄像头-改走线-1,TDIP_CAMERA,,TD_C,fixed,0.0001,-0.0092472,0.053682,-1.038,0,3.1416,TDIP,0,0,0,,,,,,,,,,,,
TPIP_TACTILE,-4.16333634234434E-17,0,-0.00249999999999996,0,0,0,0.00146,4.95483333333334E-08,-1.74611599052448E-23,-1.2376925121472E-24,2.92900000000001E-08,-1.9575347483553E-24,7.27550000000001E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/TPIP_TACTILE.STL,,TPIP-1/tactile-1,TPIP_TACTILE,,TP_T,fixed,0,-0.015,0.00745,-1.5708,0,3.1416,TPIP,0,0,0,,,,,,,,,,,,
IMCPF,-0.0444602302322914,0.00378823759442758,-0.0192437761762983,0,0,0,0.993781032617239,0.00745143624786941,8.26295119402749E-05,0.000454582953763388,0.0101817692879858,0.000264096181342371,0.00307583073237934,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IMCPF.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IMCPF.STL,,IMCPF-4,IMCPF,IF,IF,revolute,0.062,-0.0075,0.13,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
IMCPS,0.000366352894816568,0.00136079106892843,0.0363070006443149,0,0,0,0.0299795617629257,4.61407270089445E-06,-8.99357979668952E-11,-2.6512853890418E-09,4.96910634776405E-06,-1.08820321097629E-08,1.68786894408092E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IMCPS.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IMCPS.STL,,"IMCPS-4/f5_tactile-1;IMCPS-4/f6_tactile-1;IMCPS-4/f7_tactile-1;IMCPS-4/tactile_板子-1;IMCPS-4/f5盖子-1;IMCPS_XL,XC-330-1",IMCPS,IS,IS,revolute,0,0,0,0,0,0,IMCPF,0,1,0,0,0,0,0,,,,,,,,
IPIP,0.00088360794312492,0.000518551489527508,0.0315502125402504,0,0,0,0.027206442467989,4.85051610724986E-06,1.06519728675525E-08,1.36331026032813E-07,3.78353465508138E-06,-5.4440098060443E-08,1.94188295958329E-06,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IPIP.STL,,"IPIP-4/f3_tactile-1;IPIP-4/f4_tactile-1;IPIP-4/P1-从动销-1;IPIP_XL,XC-330-8",IPIP,IP,IP,revolute,0,0,0.052,0,0,0,IMCPS,-1,0,0,0,0,0,0,,,,,,,,
IDIP,0.000755618362616062,-0.0028569002986303,0.0251719278979156,0,0,0,0.0152963409977157,2.60252180819878E-06,-6.11796223608748E-09,1.3786754678515E-07,2.43805284577734E-06,1.22062110226717E-07,7.35865815495018E-07,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IDIP.STL,,IDIP-4/手指带摄像头右_倾斜扩大改-1;IDIP-4/手指带摄像头左_倾斜扩大-1;IDIP-4/P1-从动销-1,IDIP,ID,ID,revolute,0,0,0.0465000000000003,0,0,0,IPIP,-1,0,0,0,0,0,0,,,,,,,,
IDIP_TACTILE,0,6.66133814775094E-16,-0.00249999999999977,0,0,0,0.00145999999999999,4.9548333333333E-08,1.0352859666611E-23,1.3808909495774E-24,2.92899999999995E-08,-8.67574700602476E-26,7.27549999999992E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IDIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IDIP_TACTILE.STL,,IDIP-4/tactile-1,IDIP_TACTILE,,ID_T,fixed,0,-0.014925,0.024096,-1.5708,0,3.1416,IDIP,0,0,0,,,,,,,,,,,,
IDIP_CAMERA,2.67746700501892E-05,0.00407450190545419,-0.0151097917606261,0,0,0,0.00086572495408493,1.23823602198178E-08,3.60503654350637E-24,7.07362326848023E-24,4.23218910238283E-08,4.32064612591672E-09,4.62218022775047E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IDIP_CAMERA.STL,,IDIP-4/摄像头-改走线^IDIP-1,IDIP_CAMERA,,ID_C,fixed,0,-0.0094581,0.043053,-1.0472,0,-3.1416,IDIP,0,0,0,,,,,,,,,,,,
IPIP_TACTILE,0,4.9960036108132E-16,-0.00249999999999917,0,0,0,0.00145999999999999,4.95483333333332E-08,-4.81906690005996E-24,1.41268932206761E-25,2.92899999999995E-08,4.52736710151494E-24,7.27549999999994E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IPIP_TACTILE.STL,,IPIP-4/tactile-1,IPIP_TACTILE,,IP_T,fixed,5E-05,-0.015,0.0391,-1.5708,0,3.1416,IPIP,0,0,0,,,,,,,,,,,,
IMCPS_TACTILE,-2.22044604925031E-16,-1.38777878078145E-17,-0.00249999999999999,0,0,0,0.00145999999999999,4.95483333333333E-08,-2.65835410037452E-23,3.77338073205544E-24,2.92899999999995E-08,-1.9160813811325E-24,7.27549999999994E-08,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IMCPS_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/IMCPS_TACTILE.STL,,IMCPS-4/tactile-1,IMCPS_TACTILE,,IS_T,fixed,0,-0.015,0.0445,-1.5708,0,3.1416,IMCPS,0,0,0,,,,,,,,,,,,
MMCPF,-0.00846023023229137,0.00378823759442759,-0.0192437761762983,0,0,0,0.993781032617239,0.0074514362478694,8.26295119402784E-05,0.000454582953763353,0.0101817692879858,0.000264096181342372,0.00307583073237933,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/MMCPF.STL,0.674509803921569,0.709803921568627,0.737254901960784,1,0,0,0,0,0,0,package://PALM_URDF.SLDASM_0415_7/meshes/MMCPF.STL,,MMCPF-3,MMCPF,MF,MF,revolute,0.026,-0.0075,0.13,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
